songID,songName,songYearReleased,songGenre,songLength
S47797,Good Old Days,1988,Comedy,03:21
S47875,A Complicated Song,2003,Comedy,03:39
S47879,Airline Amy,1992,Comedy,03:50
S48360,Hot in the City,1982,Rock,03:40
S48438,Life Goes On,1990,Rock,04:47
S48439,Mr. Frump in the Iron Lung,1983,Comedy,01:54
S48669,"Ready for the 80's (12"" Version)",1994,Pop,06:52
S48893,Let It Play,1990,Rock,04:21
S49075,Whenever You Need Somebody,1987,Pop,03:52
S49544,I Don't Wanna Know,1985,Pop,04:12
S49638,Unskinny Bop,1990,Rock,03:47
S50093,Village People,1994,Pop,05:08
S50098,I Can't Help It,1979,Pop,04:30
S50161,I Think I'm a Clone Now,1988,Comedy,03:20
S50355,A Kind of Magic,1986,Rock,04:24
S50469,Heart of Stone,1986,Rock,03:46
S51106,(This Song's Just) Six Words Long,1988,Comedy,03:37
S51405,"Macho Man (12"" Version)",1994,Pop,05:12
S51513,Every Breath You Take,1983,Rock,04:13
S51803,We Made It,1982,Rock,03:56
S51921,Emotional,1981,Rock,04:55
S51986,Slime Creatures from Outer Space,1985,Comedy,04:23
S52171,Rebel Yell,1983,Rock,04:45
S52336,Church of the Poison Mind,1983,Rock,03:30
S52365,The Check's in the Mail,1983,Comedy,03:13
S52462,Into You Like a Train,1981,Rock,04:35
S52598,I Can See It in Your Eyes,1981,Rock,03:32
S53020,When the Time Has Come,1996,Rock,04:26
S53239,Eyes Without a Face,1983,Rock,04:58
S54055,Mother,1983,Rock,03:05
S54075,Method of Modern Love,1984,Pop,05:34
S54798,Party at the Leper Colony,2003,Comedy,03:38
S55378,Let Me In,1999,Rock,06:13
S55391,I Love Rocky Road,1983,Comedy,02:36
S55487,The Love Has Gone,1987,Pop,04:20
S55494,You Don't Love Me Anymore,1992,Comedy,04:00
S55684,Phony Calls,1996,Comedy,03:22
S55739,Amish Paradise,1996,Comedy,03:20
S55766,I'll Be Mellow When I'm Dead,1983,Comedy,03:39
S55908,In the Navy,1994,Pop,03:43
S55912,Syndicated Inc.,1996,Comedy,03:54
S55914,"Y.M.C.A. (12"" Version)",1994,Pop,06:46
S55924,Miss Gradenko,1983,Rock,02:00
S55945,Jerry Springer,1999,Comedy,02:46
S56098,This Town,1990,Rock,03:18
S56173,Love Is a Stranger,1983,Rock,03:43
S56272,Taking Over Me,2003,Rock,03:49
S56489,Made of Stone,2011,Rock,03:32
S56987,I Was Only Kidding,1992,Comedy,03:31
S57305,Cloud Nine,2006,Rock,04:22
S57366,If You Were There,1984,Pop,03:38
S58284,Do You Believe in Love,1996,Rock,03:28
S58655,Erase This,2011,Rock,03:55
S58714,Twister,1988,Comedy,01:03
S59181,Lost in Paradise,2011,Rock,04:42
S59210,Look What the Cat Dragged In,1986,Rock,03:10
S59240,Freedom,1984,Pop,05:05
S59642,The Working Hour,1985,Rock,06:30
S59648,Bad Is Bad,1996,Rock,03:47
S60040,Don't Stop 'Til You Get Enough,1979,Pop,06:06
S60954,Sorry My Friend,1997,Rock,03:05
S61006,Burn This Disco Out,1979,Pop,03:41
S61309,Callin' in Sick,1996,Comedy,03:40
S61523,Anyone Out There,1981,Rock,04:02
S61681,Cavity Search,1996,Comedy,04:19
S61871,All American Girl,1984,Pop,04:28
S62872,Down by the Sea,1981,Rock,06:53
S62933,Thriller,1984,Pop,05:57
S63001,Goodbye,1997,Rock,03:42
S63242,Be Good Johnny,1981,Rock,03:39
S63518,I Want a New Drug,1996,Rock,04:45
S63928,The Only Way To Be,1999,Rock,03:18
S64205,New Moon on Monday,1983,Rock,04:16
S64269,Everybody Wants to Rule the World,1985,Rock,04:10
S64436,Good for You,1982,Rock,03:17
S64721,You and Me,1996,Rock,02:29
S64849,Shooting Stars,1982,Rock,04:30
S64861,Broken,1985,Rock,02:38
S64910,Waiting for Your Love,1982,Rock,04:12
S65025,On the Loose,1986,Rock,03:08
S65391,Play Dirty,1986,Rock,04:08
S65564,Head over Heels/Broken (Live),1985,Rock,05:01
S65587,Fallen Angel,1988,Rock,03:56
S65681,Catch a Star,1981,Rock,03:31
S65766,Watch Out,1981,Rock,04:02
S65944,Alimony,1988,Comedy,03:16
S66107,Tourniquet,2003,Rock,04:38
S66247,Trouble in Paradise,1996,Rock,04:32
S66576,Flesh for Fantasy,1983,Rock,04:37
S66589,Underground,1981,Rock,03:07
S66730,Heart and Soul,1996,Rock,04:12
S66912,Hooked on Polkas,1985,Comedy,03:53
S67274,Like a Surgeon,1985,Comedy,03:32
S67306,Night Boat,1981,Rock,05:24
S67795,Cold Dark and Yesterday,1984,Pop,04:40
S68038,Don't Lose My Number,1985,Pop,04:46
S68224,The White Stuff,1992,Comedy,02:43
S68303,This Is the House,1983,Pop,04:56
S68494,It's a Miracle,1983,Rock,03:25
S69116,Dare to Be Stupid,1985,Comedy,03:25
S69310,I Believe,1985,Rock,04:53
S69422,It's the Falling in Love,1979,Pop,03:48
S69493,No More Looking for Love,1987,Pop,03:15
S70486,For Your,1996,Rock,02:20
S70712,Who Can it Be Now?,1981,Rock,03:25
S70758,What You Want,2011,Rock,03:41
S70855,Since You've Been Gone,1996,Comedy,01:20
S70980,Poor Boy Blues,1990,Rock,04:52
S71437,Working Day and Night,1979,Pop,05:14
S71619,I've Got an Angel,1983,Pop,02:45
S71637,Truck Drivin' Song,1999,Comedy,02:27
S71760,Rockin' Robin,1995,Pop,02:32
S71981,Time Has Come,1986,Rock,04:01
S72139,Just a Little Bit of You,1995,Pop,03:12
S72215,I Wanna Sleep with You,1981,Rock,03:17
S72366,My Bologna,1983,Comedy,02:01
S72763,No Tears,1981,Rock,03:14
S72793,Heartbeat,1984,Pop,04:42
S72812,Synchronicity II,1983,Rock,05:00
S73909,Superspy,1997,Rock,03:00
S74605,Modified,1999,Rock,03:47
S74659,Changing Every Day,1983,Rock,03:17
S74716,Don't Say Goodbye,1987,Pop,04:02
S74751,Grapefruit Diet,1999,Comedy,03:30
S75115,Mister Man,1983,Rock,03:36
S75278,Afraid of Love,1982,Rock,03:52
S75360,Everybody's Fool,2003,Rock,03:16
S75471,Careless Whisper,1984,Pop,06:30
S75569,The Power of Love,1996,Rock,03:54
S75787,You Thought,1990,Rock,04:18
S76370,Back to the Rocking Horse,1988,Rock,03:34
S76950,Rosanna,1982,Rock,05:31
S77276,Don't Stop 'Til You Get Enough,1979,Pop,03:58
S77308,She's Out of My Life,1979,Pop,03:38
S77346,Wanna B Ur Lovr,2003,Comedy,06:14
S77426,Come Hell or High Water,1990,Rock,05:01
S77731,Miss Me Blind,1983,Rock,04:30
S77777,Somebody Told Me,1983,Pop,03:29
S77788,Friends Will Be Friends,1986,Rock,04:07
S77844,Walking in Your Footsteps,1983,Rock,03:36
S78213,Lies,1997,Rock,03:54
S78429,Little Differences,1997,Rock,02:42
S78449,Karma Chameleon,1983,Rock,04:12
S78604,Dead on Arrival,1982,Rock,03:54
S78707,"In the  (12"" Version)",1994,Pop,06:12
S79027,Doesn't Anybody Stay Together Anymore,1985,Pop,04:18
S79039,Wanna Be Startin' Somethin',1983,Pop,04:21
S79243,Hello,2003,Rock,03:40
S79257,(I'm Looking For) Cracks in the Pavement,1983,Rock,03:38
S79613,Don't Lose Your Head,1986,Rock,04:38
S79637,The World Is New,1997,Rock,02:12
S79668,This Is the Life,1985,Comedy,03:06
S79681,Albuquerque,1999,Comedy,11:23
S79981,Together Forever,1987,Pop,03:24
S80940,You Move Me,1987,Pop,03:40
S81659,Jump,1981,Rock,03:41
S81690,Everything I Want To Be,1997,Rock,03:48
S81846,Stop Draggin' My Care Around,1983,Comedy,03:16
S81873,Sweet Dreams (Are Made of This),1983,Pop,03:36
S81906,Cry Tough,1986,Rock,03:36
S82041,White Wedding (Part 1),1982,Rock,04:11
S82947,Who Wants to Live Forever,1986,Rock,05:15
S83185,Blue Highway,1983,Rock,05:05
S83217,Long Long Way to Go,1985,Pop,04:20
S83287,King of Pain,1983,Rock,04:59
S83359,Blame It on You,1986,Rock,02:32
S83440,She Is Mine,1981,Rock,03:51
S83882,Touching the Untouchables,1981,Rock,03:41
S84349,End of the Dream,2011,Rock,03:49
S84449,My Immortal,2003,Rock,04:23
S84796,Love on the Rocks,1988,Rock,03:33
S85046,The Heart of Rock & Roll,1996,Rock,05:04
S85465,Can't Stop the Music,1994,Pop,03:36
S86783,I Won't Forget You,1986,Rock,03:35
S86942,O My God,1983,Rock,04:02
S86967,One Year of Love,1986,Rock,04:26
S87016,Ode to a Superhero,2003,Comedy,04:53
S87553,Hot Cop,1994,Pop,06:20
S87736,Good Enough,2006,Rock,05:32
S87787,Your Star,2006,Rock,04:43
S87872,Slipping Away,1987,Pop,03:52
S88025,Ben,1972,Pop,02:44
S88466,The Saga Begins,1999,Comedy,05:27
S88478,Synchronicity I,1983,Rock,03:23
S89169,Cherokee,1986,Rock,04:20
S89352,That's the Way (I'm Only Trying to Help You),1983,Rock,02:45
S89460,How Much More,1990,Rock,03:04
S90045,The Seventh Stranger,1983,Rock,05:24
S90569,Sussudio,1985,Pop,04:23
S90971,The Plumbing Song,1992,Comedy,04:08
S91454,Genius in France,2003,Comedy,08:58
S91486,Bring Me to Life,2003,Rock,03:56
S91514,Friends of Mine,1981,Rock,05:43
S91690,Stormkeeper,1983,Rock,02:46
S91808,Doing It All for My Baby,1996,Rock,03:37
S91891,Cool Jerk,1990,Rock,03:07
S91945,The Dead Next Door,1983,Rock,03:45
S92126,Trigger Happy,1992,Comedy,03:46
S92618,All That I'm Living For,2006,Rock,03:48
S92809,I'm Not Cryin' For You,1999,Rock,04:03
S93101,All of This and Nothing,1981,Rock,06:25
S93226,Going Thru the Motions,1984,Pop,05:40
S93471,Wrapped Around Your Finger,1983,Rock,05:13
S93658,Rock with You,1979,Pop,03:40
S94002,Nobody's Business,1982,Rock,04:06
S94027,Hardware Store,2003,Comedy,03:45
S94948,Under 21,1997,Rock,02:36
S95095,This City Never Sleeps,1983,Pop,06:33
S95493,Polka Power!,1999,Comedy,04:21
S95812,Swimming Home,2011,Rock,03:43
S95862,Who Said I Would,1985,Pop,04:01
S95879,Lover Chaser,1986,Rock,03:27
S96021,Life Loves a Tragedy,1990,Rock,05:14
S96171,Lacrymosa,2006,Rock,03:37
S96309,Dancing Machine,1995,Pop,02:36
S96492,Lose Control,2006,Rock,04:50
